rank,lemma,pos,avg_rank,sources_count,rank_itwac,rank_opensubs,rank_wordfreq,count_itwac,count_opensubs,freq_wordfreq,gender,auxiliary,adj_class,nvdb_tier,notes,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
68,no,adverb,62.5,2,,25,100,,1433410,0.000912,na,,,FO,,1052,5783,1517,179,343,1666,1277,44453
69,no,interjection,62.5,2,,25,100,,0,0,na,,,,,1052,0,1517,0,343,0,1277,0
70,me,pronoun,63.0,2,,47,79,,742942,0.00123,na,,,FO,,598,11534,2255,105,111,5251,1403,39744
71,ne,adverb,64.5,2,,54,75,,577983,0.00126,na,,,FO,,195,30966,375,894,41,11987,186,236265
72,ne,pronoun,64.5,2,,54,75,,0,0,na,,,FO,,195,0,375,0,41,0,186,0
73,parte,noun,65.67,3,10,128,59,2069269,260566,0.001672,f,,,FO,,60,95474,42,6068,57,8822,41,1086168
74,trovare,verb,67.0,3,27,86,88,1284413,387040,0.001116656,na,avere,,FO,,164,37918,191,1600,81,7048,76,500388
75,pensare,verb,68.67,3,65,48,93,805559,721450,0.0010620580000000003,na,avere,,FO,,235,26644,411,809,178,3444,782,73773
76,su,adverb,69.0,2,,99,39,,340528,0.0024,na,,,FO,,64,86343,69,3573,98,5835,50,799425
77,su,preposition,69.0,2,,99,39,,0,0,na,,,FO,,64,0,69,0,98,0,50,0
78,su,interjection,69.0,2,,99,39,,0,0,na,,,FO,,64,0,69,0,98,0,50,0
79,bene,adverb,70.0,2,,37,103,,981661,0.0008895,na,,,FO,,382,17178,203,1539,132,4525,728,78744
80,bene,interjection,70.0,2,,37,103,,0,0,na,,,FO,,382,0,203,0,132,0,728,0
81,perché,adverb,71.5,2,,77,66,,417508,0.00151,na,,,FO,,79,72313,123,2150,686,862,283,175997
82,perché,conjunction,71.5,2,,77,66,,0,0,na,,,FO,,79,0,123,0,686,0,283,0
83,dare,verb,71.67,3,19,109,87,1590195,307851,0.0011245130000000002,na,avere,,FO,,102,54548,124,2148,43,10854,95,391879
84,volta,noun,71.67,3,29,101,85,1257173,331743,0.0011480000000000001,f,,,FO,,132,44790,128,2115,88,6273,72,519474
85,nuovo,adjective,72.33,3,12,135,70,1920014,239514,0.0013679999999999999,na,,o,FO,,66,85530,55,4711,86,6320,54,683973
86,parlare,verb,72.67,3,55,69,94,854247,475197,0.000974693,na,avere,,FO,,189,32688,597,540,150,4023,558,99163
87,venire,verb,74.33,3,101,61,61,637467,536109,0.0015884039999999999,na,essere,,FO,,73,78017,92,2589,50,9983,26,1833242
88,stesso,adjective,74.67,3,9,142,73,2072121,227768,0.001312,na,,o,FO,,98,58182,76,3123,72,7474,58,649537
89,prima,adverb,75.5,2,,87,64,,387026,0.00155,na,,,FO,,109,52324,120,2175,84,6981,44,1038573
90,tempo,noun,75.67,3,18,120,89,1613504,282754,0.001113,m,,,FO,,136,44095,87,2816,54,9178,92,403153
91,giorno,noun,76.67,3,21,126,83,1493574,263756,0.001176,m,,,FO,,230,27452,481,684,95,5931,134,292987
92,qui,adverb,77.5,2,,41,114,,927883,0.000741,na,,,FO,,374,17521,1241,227,139,4345,543,101252
93,chi,pronoun,78.0,2,,74,82,,432988,0.0012,na,,,FO,,435,15369,413,802,99,5821,953,60019
94,mai,adverb,79.5,2,,68,91,,477108,0.00107,na,,,FO,,458,14784,361,928,104,5520,362,143192
95,sul,preposition,81.0,2,,111,51,,299355,0.0018994,na,,,,,42,135074,40,6161,91,6194,52,795440
96,prendere,verb,82.0,3,61,75,110,831263,426434,0.0008030570000000001,na,avere,,FO,,209,29468,305,1052,161,3712,212,217912
97,te,pronoun,82.5,2,,50,115,,681861,0.000741,na,,,FO,,11021,104,6714,15,369,1569,3491,13569
98,tu,pronoun,82.5,2,,45,120,,847129,0.000724,na,,,FO,,9698,139,9722,7,196,3044,3607,13026
99,così,adverb,83.0,2,,97,69,,351367,0.00138,na,,,FO,,147,41765,110,2336,51,9801,106,346761
100,dalla,preposition,84.0,2,,118,50,,283498,0.0019169999999999999,na,,,,,57,103393,54,4941,49,10364,33,1408854
101,dove,adverb,84.5,2,,72,97,,466823,0.000933,na,,,FO,,558,12393,263,1160,159,3808,65,554950
102,dove,conjunction,84.5,2,,72,97,,0,0,na,,,FO,,558,0,263,0,159,0,65,0
103,due,numeral,85.5,2,,104,67,,328195,0.00148,na,,,FO,,121,46969,122,2158,45,10722,37,1133268
104,nostro,pronoun,85.5,2,,93,78,,366217,0.001258,na,,,FO,,36,147924,154,1865,83,7035,1094,51608
105,persona,noun,86.33,3,36,137,86,1127037,235818,0.001131,f,,,FO,,177,35333,103,2472,193,3081,235,208885
106,lavoro,noun,87.0,3,11,141,109,1974164,227975,0.000813,m,,,FO,,77,73030,82,2994,585,992,303,167765
107,vita,noun,89.67,3,39,132,98,1099669,248223,0.000933,f,,,FO,,301,21440,239,1265,140,4305,118,313124
108,ancora,adverb,90.0,2,,96,84,,357766,0.00117,na,,,FO,,96,58542,107,2419,142,4272,124,304434
109,ancora,conjunction,90.0,2,,96,84,,0,0,na,,,FO,,96,0,107,0,142,0,124,0
110,cui,pronoun,93.0,2,,134,52,,242757,0.00186,na,,,FO,,47,128029,52,5025,52,9729,43,1059508
111,loro,pronoun,93.0,2,,121,65,,278369,0.00151,na,,,FO,,65,85935,38,6177,40,12186,57,656219
112,parte,adverb,93.5,2,,128,59,,0,0,na,,,FO,,60,0,42,0,57,0,41,0
113,quanto,adverb,93.5,2,,107,80,,315287,0.0012121,na,,,FO,,55,108923,100,2504,75,7295,184,237924
114,quanto,pronoun,93.5,2,,107,80,,0,0,na,,,FO,,55,0,100,0,75,0,184,0
115,proprio,adverb,95.0,2,,116,74,,285863,0.0012791,na,,,FO,,76,73215,66,3832,148,4076,82,467398
116,sempre,adverb,95.0,2,,113,77,,293460,0.00126,na,,,FO,,175,35564,135,2017,96,5880,123,306021
117,vero,adjective,96.33,3,75,88,126,741595,382851,0.0006730000000000001,na,,o,FO,,326,20449,332,988,154,3956,438,120885
118,uomo,noun,97.0,3,54,110,127,872760,301323,0.000665,m,,,FO,,596,11557,731,438,89,6255,148,269292
119,casa,noun,97.67,3,91,95,107,674244,359824,0.0008567000000000001,f,,,FO,,1295,4380,535,612,125,4686,115,317724
120,dettare,verb,99.0,3,104,62,131,626487,534740,0.0006376979999999999,na,avere,,AU,,225,27812,796,396,115,5104,433,121568
121,grande,adjective,99.0,3,13,183,101,1891631,166107,0.000901,na,,e,FO,,137,43753,77,3122,94,5940,79,480229
122,modo,noun,99.33,3,31,163,104,1208344,189386,0.0008806,m,,,FO,,69,84795,58,4398,117,5012,164,253724
123,lui,pronoun,103.0,2,,82,124,,400840,0.000676,na,,,FO,,1446,3749,1411,193,70,7511,189,234441
124,poi,adverb,103.0,2,,130,76,,254985,0.00126,na,,,FO,,370,17644,306,1049,48,10405,68,539793
125,sentire,verb,104.33,3,109,67,137,619945,482659,0.0006181460000000002,na,avere,,FO,,587,11723,1061,286,213,2700,1183,47993
126,quindi,adverb,105.0,2,,105,105,,327478,0.000871,na,,,FO,,120,47352,157,1810,281,2065,117,314743
127,quindi,conjunction,105.0,2,,105,105,,0,0,na,,,FO,,120,0,157,0,281,0,117,0
128,stato,noun,105.33,3,216,59,41,459963,542534,0.002317,m,,,FO,,22,263800,28,10276,60,8648,30,1541383
129,sulla,preposition,106.0,2,,140,72,,232230,0.001327,na,,,,,40,137258,56,4685,120,4873,55,664183
130,noi,pronoun,107.0,2,,103,111,,329262,0.000794,na,,,FO,,104,53582,725,442,110,5271,2455,20966
131,stesso,pronoun,107.5,2,,142,73,,0,0,na,,,FO,,98,0,76,0,72,0,58,0
132,dopo,adverb,109.5,2,,148,71,,219627,0.00135,na,,,FO,,214,28751,143,1956,82,7041,36,1178370
133,dopo,preposition,109.5,2,,148,71,,0,0,na,,,FO,,214,0,143,0,82,0,36,0
134,dopo,conjunction,109.5,2,,148,71,,0,0,na,,,FO,,214,0,143,0,82,0,36,0
135,sembrare,verb,109.67,3,92,114,123,666884,292622,0.0006867750000000001,na,essere,,FO,,331,20167,148,1889,300,1928,562,98940
136,caso,noun,112.0,3,20,208,108,1573620,136444,0.000826,m,,,FO,,105,53422,136,2017,251,2312,175,244326
137,credere,verb,113.33,3,149,66,125,535363,484338,0.000673514,na,avere,,FO,,157,39499,560,580,135,4487,1024,55414
138,potere,noun,114.33,3,299,17,27,384965,0,0,m,,,FO,,23,0,18,0,29,0,47,0
139,chiedere,verb,121.67,3,67,149,149,784446,218437,0.000586383,na,avere,,FO,,118,48015,582,553,487,1148,611,91428
140,problema,noun,122.0,3,51,173,142,905856,177099,0.0006000000000000001,m,,,FO,,74,74354,88,2683,2916,187,462,115953
141,vi,adverb,122.0,2,,131,113,,253715,0.000776,na,,,FO,,128,46078,529,616,56,9086,168,250569
142,vi,pronoun,122.0,2,,131,113,,0,0,na,,,FO,,128,0,529,0,56,0,168,0
143,tra,preposition,123.0,2,,184,62,,165237,0.00158,na,,,FO,,70,82042,53,4990,77,7149,35,1197336
144,solo,adjective,123.67,3,286,43,42,395735,0,0,na,,o,FO,,81,0,59,0,85,0,71,0
145,capire,verb,124.0,3,156,98,118,525990,348426,0.0007268019999999997,na,avere,,FO,,640,10700,487,675,706,844,1283,44111
146,primo,adjective,124.67,3,8,270,96,2160611,95367,0.000964,na,,o,FO,,155,40176,140,1992,97,5852,48,910638
147,buono,adverb,126.5,2,,136,117,,236698,0.0007312000000000001,na,,,FO,,210,29445,189,1634,152,3973,420,126288
148,posto,noun,128.33,3,102,145,138,633692,225374,0.0006131,m,,,FO,,240,26062,238,1266,273,2121,102,371001
149,li,pronoun,128.5,2,,125,132,,268514,0.000631,na,,,FO,,968,6438,822,377,113,5161,663,85157
150,senza,preposition,129.0,2,,168,90,,183720,0.0011,na,,,FO,,130,45881,108,2372,65,8367,156,262941
151,senza,conjunction,129.0,2,,168,90,,0,0,na,,,FO,,130,0,108,0,65,0,156,0
152,senza,interjection,129.0,2,,168,90,,0,0,na,,,FO,,130,0,108,0,65,0,156,0
153,certo,adverb,129.5,2,,112,147,,298548,0.000588,na,,,FO,,207,29700,327,1002,124,4690,565,98539
154,certo,pronoun,129.5,2,,112,147,,0,0,na,,,FO,,207,0,327,0,124,0,565,0
155,mettere,verb,129.67,3,47,188,154,950381,160696,0.0005586469999999999,na,avere,,FO,,342,19469,304,1053,245,2379,479,112630
156,mondo,noun,130.33,3,43,227,121,1021907,120633,0.00072209,m,,,FO,,229,27526,64,3955,227,2576,144,278325
157,cercare,verb,133.0,3,122,127,150,599843,261071,0.0005827990000000002,na,avere,,FO,,349,18974,377,891,280,2068,338,153883
158,portare,verb,134.67,3,72,171,161,760453,181285,0.0005283979999999999,na,avere,,FO,,358,18408,171,1719,183,3292,119,310702
159,lasciare,verb,135.33,3,131,117,158,575771,285559,0.000540463,na,avere,,FO,,593,11617,397,837,119,4922,218,215327
160,riuscire,verb,135.67,3,117,147,143,605648,222961,0.0005963029999999999,na,essere,,FO,,273,23455,205,1528,298,1938,137,287561
161,arrivare,verb,137.67,3,106,156,151,623064,203244,0.0005818379999999999,na,essere,,FO,,865,7325,442,746,463,1227,172,248236
162,qualcosa,pronoun,138.0,2,,90,186,,375353,0.000457,na,,,FO,,877,7191,812,385,2493,225,2204,24104
163,via,adverb,139.5,2,,157,122,,199307,0.0007149,na,,,FO,,333,20150,176,1700,162,3678,152,267629
164,via,interjection,139.5,2,,157,122,,0,0,na,,,FO,,333,0,176,0,162,0,152,0
165,allora,adverb,141.5,2,,83,200,,394873,0.000437,na,,,FO,,661,10357,515,635,136,4466,361,143523
166,allora,conjunction,141.5,2,,83,200,,0,0,na,,,FO,,661,0,515,0,136,0,361,0
167,lei,pronoun,142.0,2,,57,227,,554384,0.000398,na,,,FO,,200,30574,3325,54,186,3179,426,124956
168,momento,noun,142.33,3,79,193,155,732457,158180,0.0005561,m,,,FO,,182,34326,208,1515,307,1884,339,153722
169,già,adverb,143.5,2,,185,102,,164090,0.000891,na,,,FO,,103,53943,166,1740,93,6109,151,267798
170,niente,adverb,145.5,2,,89,202,,376096,0.000437,na,,,FO,,1798,2786,1419,192,1390,419,3645,12885
171,niente,pronoun,145.5,2,,89,202,,0,0,na,,,FO,,1798,0,1419,0,1390,0,3645,0
172,donna,noun,148.0,3,137,179,128,561723,171501,0.000647,f,,,FO,,212,29159,270,1131,144,4191,254,192058
173,fine,noun,149.67,3,33,280,136,1175769,88088,0.0006187,m,,,FO,,125,46614,134,2044,236,2471,100,379204
174,fine,noun,149.67,3,33,280,136,1175769,0,0,f,,,FO,,125,0,134,0,236,0,100,0
175,via,noun,150.33,3,172,157,122,508728,0,0,m,,,FO,,333,0,176,0,162,0,152,0
176,via,noun,150.33,3,172,157,122,508728,0,0,f,,,FO,,333,0,176,0,162,0,152,0
177,sì,adverb,151.5,2,,56,247,,561011,0.00038,na,,,FO,,700,9571,1167,250,106,5395,2276,23176
178,sì,interjection,151.5,2,,56,247,,0,0,na,,,,,700,0,1167,0,106,0,2276,0
179,forse,adverb,153.5,2,,124,183,,270956,0.000468,na,,,FO,,353,18740,409,811,127,4647,967,59187
180,tenere,verb,157.0,3,71,197,203,767587,153794,0.00043622599999999995,na,avere,,FO,,161,38329,454,733,157,3877,324,158220
181,secondo,adjective,157.33,3,126,247,99,587807,110457,0.0009313,na,,o,FO,,144,42271,114,2256,166,3639,63,560722
182,punto,noun,157.67,3,37,288,148,1125877,86826,0.0005870000000000001,m,,,FO,,93,60469,177,1700,261,2253,136,290723
183,storia,noun,157.67,3,90,248,135,675481,110381,0.0006221,f,,,FO,,916,6899,425,773,244,2384,78,485924
184,davvero,adverb,158.5,2,,94,223,,362026,0.000407,na,,,FO,,575,12021,1036,297,1764,325,4147,11002
185,chiamare,verb,158.67,3,207,102,167,469507,331035,0.000513143,na,avere,,FO,,999,6165,911,344,179,3421,173,247678
186,piccolo,adjective,160.0,3,112,203,165,614161,146294,0.000525,na,,o,FO,,330,20168,324,1014,220,2656,113,321400
187,certo,adjective,162.33,3,228,112,147,450341,0,0,na,,o,FO,,207,0,327,0,124,0,565,0
188,qualche,adverb,163.5,2,,174,153,,176926,0.000562,na,,,FO,,504,13790,695,463,114,5149,634,88097
189,meglio,adverb,164.5,2,,161,168,,190791,0.000513,na,,,FO,,522,13197,475,696,249,2332,1012,56200
190,buono,adjective,165.33,3,243,136,117,439179,0,0,na,,o,FO,,210,0,189,0,152,0,420,0
191,troppo,adverb,168.0,2,,170,166,,181466,0.0005243000000000001,na,,,FO,,412,16167,241,1258,182,3308,1003,56529
192,troppo,pronoun,168.0,2,,170,166,,0,0,na,,,FO,,412,0,241,0,182,0,1003,0
193,tipo,noun,170.0,3,129,201,180,580124,148754,0.0004773,m,,,FO,,408,16357,355,937,2190,262,295,171073
194,fuori,adverb,171.0,2,,133,209,,244593,0.000427,na,,,FO,,957,6498,625,520,342,1672,616,90797
195,fuori,preposition,171.0,2,,133,209,,0,0,na,,,FO,,957,0,625,0,342,0,616,0
196,conoscere,verb,171.33,3,170,155,189,510788,204040,0.00044803800000000016,na,avere,,FO,,777,8458,1434,191,216,2680,392,134858
197,secondo,adverb,173.0,2,,247,99,,0,0,na,,,FO,,144,0,114,0,166,0,63,0
198,secondo,numeral,173.0,2,,247,99,,0,0,na,,,FO,,144,0,114,0,166,0,63,0
199,secondo,preposition,173.0,2,,247,99,,0,0,na,,,FO,,144,0,114,0,166,0,63,0
200,secondo,conjunction,173.0,2,,247,99,,0,0,na,,,FO,,144,0,114,0,166,0,63,0
201,passare,verb,175.33,3,148,199,179,536382,152389,0.0004831309999999999,na,either,,FO,,406,16691,328,1001,177,3462,190,230124
202,voi,pronoun,177.0,2,,143,211,,227702,0.000427,na,,,FO,,827,7790,5716,20,158,3810,8532,4005
203,oggi,adverb,177.5,2,,215,140,,132722,0.000603,na,,,FO,,116,48922,121,2167,472,1175,281,176845
204,diverso,adjective,177.67,3,40,359,134,1072206,65337,0.0006232,na,,o,FO,,169,36943,184,1669,242,2396,99,381690
205,diventare,verb,178.0,3,138,225,171,557107,122591,0.0005019230000000001,na,essere,,FO,,380,17259,141,1978,647,911,165,251493
206,qualcuno,pronoun,178.0,2,,139,217,,232548,0.000417,na,,,FO,,1626,3236,1975,124,1407,411,3133,15490
207,bene,noun,180.0,3,400,37,103,316340,0,0,m,,,FO,,382,0,203,0,132,0,728,0
208,quale,adverb,180.0,2,,265,95,,97631,0.000969,na,,,FO,,68,85093,152,1869,37,17861,53,739162
209,quale,pronoun,180.0,2,,265,95,,0,0,na,,,FO,,68,0,152,0,37,0,53,0
210,nome,noun,181.67,3,164,211,170,516256,134455,0.0005083,m,,,FO,,208,29671,1688,158,116,5090,80,473433
211,primo,adverb,183.0,2,,270,96,,0,0,na,,,FO,,155,0,140,0,97,0,48,0
212,primo,numeral,183.0,2,,270,96,,0,0,na,,,FO,,155,0,140,0,97,0,48,0
213,tre,numeral,187.0,2,,214,160,,132830,0.000537,na,,,FO,,303,21329,274,1119,160,3775,84,456422
214,mese,noun,187.67,3,82,303,178,712178,81208,0.00048400000000000006,m,,,FO,,383,17173,367,915,335,1704,264,186268
215,male,adverb,189.5,2,,180,199,,168540,0.00043850000000000003,na,,,FO,,1731,2950,1017,305,190,3154,1443,38703
216,male,interjection,189.5,2,,180,199,,0,0,na,,,FO,,1731,0,1017,0,190,0,1443,0
