rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
129,stata,146.00,3,158,151,129,216946,532994,0.000692,147,41348,160,1747,293,1872,82,490146
130,forse,147.33,3,128,130,184,270956,646156,0.000468,340,18740,394,811,124,4647,810,59187
131,ogni,148.67,3,179,179,88,180604,427791,0.00107,178,36191,211,1384,63,7967,154,267891
132,senza,149.00,3,181,180,86,180036,426572,0.0011,128,45391,109,2370,62,8363,159,262941
133,sto,150.00,3,121,121,208,290409,691025,0.000427,2982,1660,9168,16,3862,143,21211,1577
134,andare,152.67,3,122,126,210,289404,663235,0.000417,1110,5719,846,362,651,854,1192,43378
135,dalla,153.67,3,194,196,71,161488,384018,0.00138,76,73932,68,3420,83,6961,46,1128883
136,modo,155.00,3,180,173,112,180304,443845,0.000813,71,81967,54,4167,137,4348,179,234943
137,visto,156.33,3,148,148,173,237793,563166,0.000513,521,12823,856,357,792,696,679,69005
138,dai,156.67,3,174,183,113,187292,422435,0.000794,232,27056,152,1811,182,3341,104,407140
139,via,157.00,3,168,170,133,196759,450882,0.000676,341,18737,178,1662,186,3219,167,244918
140,già,162.33,3,192,194,101,164090,387155,0.000891,102,53943,162,1740,91,6109,155,267798
141,giorno,163.33,3,178,186,126,182690,415510,0.000708,305,20859,737,418,155,3842,280,158489
142,fuori,164.00,3,142,146,204,244593,570933,0.000427,992,6498,612,520,329,1672,517,90797
143,certo,168.00,3,131,132,241,264768,623039,0.000372,336,18982,452,719,209,2753,969,51965
144,alle,169.33,3,215,218,75,149069,347301,0.00132,57,101069,58,3978,76,7132,69,573222
145,sulla,169.33,3,207,206,95,155948,369407,0.000955,60,96586,77,3051,189,3140,81,502485
146,qualcuno,169.67,3,149,147,213,232548,564315,0.000417,1803,3236,2192,124,1359,411,3391,15490
147,voi,171.00,3,152,152,209,227702,531453,0.000427,844,7790,7806,20,158,3810,10672,4005
148,meglio,172.33,3,172,174,171,190791,441525,0.000513,500,13197,469,696,246,2332,863,56200
149,qualche,173.67,3,185,184,152,176926,418648,0.000562,474,13790,675,463,114,5149,530,88097
150,credo,176.67,3,136,137,257,249237,599173,0.000347,196,31915,2753,94,545,1014,9117,4922
151,vuoi,176.67,3,111,114,305,334292,766296,0.000288,12301,187,,1,1607,353,19380,1800
152,posto,177.67,3,166,165,202,201344,480578,0.000437,675,9987,753,410,445,1225,148,276375
153,puoi,179.67,3,141,143,255,244689,580555,0.000355,29278,34,15306,7,2516,225,22742,1423
154,sembra,180.67,3,177,175,190,185098,439034,0.000457,427,14919,286,1053,557,997,778,60933
155,nuovo,181.33,3,199,197,148,159184,380622,0.000589,251,24975,214,1338,205,2847,140,294428
156,vedere,183.67,3,182,187,182,179423,405108,0.000479,819,8043,1199,250,364,1515,1486,35329
157,ai,184.33,3,241,244,68,129235,302964,0.00141,53,106577,52,4625,67,7511,58,761368
158,nessuno,184.33,3,167,166,220,198499,472379,0.000407,796,8336,784,395,538,1026,1762,30060
159,tanto,184.67,3,203,205,146,158527,370108,0.000603,425,14940,450,725,106,5487,570,82334
160,degli,186.67,3,248,240,72,126852,304435,0.00138,47,116964,40,6239,81,6977,55,829966
161,persone,186.67,3,223,219,118,140564,344340,0.000759,206,30509,117,2282,348,1584,296,150385
162,sarebbe,188.33,3,193,195,177,161625,386839,0.000501,217,29036,158,1768,196,2999,334,136303
163,uomo,188.67,3,159,158,249,216269,513756,0.000363,1336,4574,1596,179,227,2579,295,150511
164,può,190.00,3,228,250,92,136302,296055,0.00102,97,58068,73,3173,133,4456,130,310048
165,fosse,192.67,3,196,191,191,159796,394883,0.000447,643,10403,527,616,116,5108,335,136042
166,avere,196.00,3,212,211,165,151301,356478,0.000525,262,24159,251,1143,303,1820,399,117193
167,cazzo,197.00,3,173,178,240,190133,429023,0.000372,,2,,,,,,232
168,devo,197.00,3,126,128,337,277618,652087,0.000257,761,8800,16069,6,5541,97,25669,1186
169,adesso,197.33,3,157,160,275,217200,500017,0.000324,736,9147,1002,305,815,680,5449,9191
170,troppo,197.67,3,195,204,194,161296,372501,0.000447,476,13767,273,1085,201,2899,986,51220
171,aveva,199.00,3,220,221,156,143513,341448,0.00055,854,7686,488,664,79,7072,102,411667
172,bisogno,200.33,3,162,163,276,207740,493313,0.000324,347,18334,247,1160,499,1097,2356,22497
173,grande,200.33,3,227,239,135,138400,304613,0.000661,222,28275,174,1681,153,3928,121,342094
174,dio,203.00,3,154,155,300,225110,519162,0.000288,5583,678,8839,17,207,2828,661,69988
175,questi,203.67,3,237,246,128,131893,301540,0.000692,110,50612,87,2827,100,5699,161,260034
176,altri,204.00,3,263,260,89,118858,282794,0.00105,107,51507,74,3118,66,7603,87,460423
177,momento,205.00,3,218,217,180,146779,350546,0.00049,189,33175,206,1457,339,1627,328,138312
178,vuole,208.67,3,176,177,273,185134,429737,0.000331,795,8354,1115,268,891,626,1099,46148
179,caso,209.67,3,253,237,139,123317,307643,0.000631,156,39714,213,1357,330,1667,246,177145
180,oggi,209.67,3,236,248,145,132722,299029,0.000603,115,48922,125,2167,459,1175,248,176845
181,nostro,211.00,3,224,222,187,140377,338390,0.000468,120,47168,577,554,262,2123,3522,14812
182,tre,211.00,3,235,236,162,132830,308932,0.000537,298,21329,259,1119,161,3775,88,456422
183,deve,211.67,3,222,230,183,141717,324426,0.000468,84,67822,198,1532,515,1062,492,93960
184,male,214.00,3,200,208,234,158724,365362,0.00038,2597,1966,1687,171,350,1579,2145,24871
185,ecco,214.33,3,188,192,263,173039,390402,0.000339,1029,6238,1443,202,461,1169,7248,6583
186,altra,214.67,3,213,214,217,150803,353206,0.000407,1065,5978,444,731,244,2386,327,138924
187,tutte,217.00,3,256,253,142,121576,289140,0.000631,192,32718,332,946,135,4430,241,179868
188,padre,218.00,3,160,161,333,211947,495319,0.000263,6232,573,4704,44,240,2407,213,206148
189,mondo,218.67,3,266,263,127,118133,281540,0.000708,229,27369,59,3948,231,2527,151,270053
190,fai,222.33,3,170,171,326,195314,446535,0.000269,28163,37,15167,7,4330,127,15304,2496
191,tipo,223.00,3,225,229,215,139082,325089,0.000417,460,14010,386,822,3143,179,343,133965
192,parlare,227.33,3,189,190,303,166324,397117,0.000288,674,9990,1200,250,594,940,2188,24368
193,queste,227.67,3,252,259,172,123323,283332,0.000513,181,35267,139,1955,166,3662,279,158898
194,stai,228.00,3,102,106,476,356920,829553,0.000191,28081,38,12444,9,10659,45,29040,986
195,gente,230.33,3,245,247,199,129045,300483,0.000437,1445,4168,1141,261,373,1495,2758,19058
196,abbia,231.33,3,217,203,274,148510,376066,0.000324,328,19156,660,477,324,1696,1079,46784
197,dice,231.67,3,233,243,219,134285,304275,0.000407,1306,4689,2238,122,275,2012,966,52129
198,aver,232.67,3,265,252,181,118732,294652,0.000479,437,14719,467,698,225,2603,146,280871
199,stesso,233.00,3,284,283,132,108783,262523,0.000676,228,27379,163,1733,139,4334,99,420257
200,miei,233.67,3,210,210,281,154222,363866,0.000316,811,8154,2445,111,333,1662,10027,4336
201,ce,236.00,3,198,202,308,159445,376136,0.000282,985,6556,3603,65,1073,522,6193,7966
202,ok,236.67,3,62,59,589,513655,1280268,0.000158,,10,,,,,18544,1908
203,penso,236.67,3,187,189,334,174213,398238,0.000263,550,12336,5576,35,2690,209,16672,2221
204,sa,237.67,3,209,207,297,154585,368124,0.000295,1237,5026,1901,148,419,1318,1579,33116
205,potrebbe,239.33,3,231,226,261,135454,330463,0.000347,320,19825,72,3302,622,904,943,52827
206,nome,240.67,3,260,257,205,119807,285150,0.000427,218,28757,1930,145,144,4200,96,429745
207,ciao,241.33,3,153,164,407,225358,489941,0.000214,,6,,,,4,15059,2550
208,piu,241.33,3,88,73,563,394239,1053049,0.000166,,4,15886,6,13216,34,,411
209,successo,242.67,3,205,200,323,157392,378236,0.000275,528,12707,344,926,1711,327,237,183048
210,suoi,247.00,3,296,291,154,104470,248863,0.000562,346,18358,220,1320,88,6313,95,432872
211,sarà,248.33,3,286,300,159,107998,241360,0.000537,151,40458,207,1442,289,1897,628,74040
212,tutta,250.67,3,267,269,216,117856,276167,0.000417,442,14632,668,467,162,3727,442,105885
213,secondo,251.00,3,323,325,105,90669,215888,0.000871,144,41702,119,2230,173,3512,78,534780
214,insieme,251.67,3,274,270,211,115108,274816,0.000417,399,16071,372,858,241,2402,157,264526
215,sai,253.67,3,95,98,568,374989,872479,0.000166,33379,26,24807,3,1834,306,16527,2246
216,sotto,253.67,3,294,288,179,106013,254935,0.000501,444,14615,252,1142,126,4633,141,293119
