rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3207	copriti	copriti	678	10241621	73.1744	4.2396	tokeniser_fixable	
3208	epinefrina	epinefrina	678	10242299	73.1792	4.2399	residual	epinephrine, adrenaline
3209	jaime	jaime	678	10242977	73.1840	4.2402	proper_noun	Jaime
3210	ricordarmelo	ricordarmelo	678	10243655	73.1889	4.2405	tokeniser_fixable	
3211	allenarti	allenarti	677	10244332	73.1937	4.2407	tokeniser_fixable	
3212	andra'	andra'	677	10245009	73.1986	4.2410	residual	
3213	benedict	benedict	677	10245686	73.2034	4.2413	proper_noun	
3214	berlo	berlo	677	10246363	73.2082	4.2416	tokeniser_fixable	
3215	rizzoli	rizzoli	677	10247040	73.2131	4.2419	residual	a surname
3216	steele	steele	677	10247717	73.2179	4.2421	residual	
3217	escobar	escobar	676	10248393	73.2227	4.2424	residual	
3218	milly	milly	676	10249069	73.2276	4.2427	proper_noun	
3219	proteggerli	proteggerli	676	10249745	73.2324	4.2430	tokeniser_fixable	
3220	proteggervi	proteggervi	676	10250421	73.2372	4.2433	tokeniser_fixable	
3221	shepard	shepard	676	10251097	73.2421	4.2435	proper_noun	
3222	stenditi	stenditi	676	10251773	73.2469	4.2438	residual	
3223	tariq	tariq	676	10252449	73.2517	4.2441	residual	
3224	contattarti	contattarti	675	10253124	73.2565	4.2444	tokeniser_fixable	
3225	intoppo	intoppare	675	10253799	73.2614	4.2447	residual	to encounter unexpectedly, to run into, to encounter unexpectedly, to run into, to stumble upon [with in], to collide with, to bump into [with in]
3226	aiutalo	aiutalo	674	10254473	73.2662	4.2449	tokeniser_fixable	
3227	rahl	rahl	674	10255147	73.2710	4.2452	residual	
3228	approfittarne	approfittarne	673	10255820	73.2758	4.2455	tokeniser_fixable	
3229	buttarsi	buttarsi	673	10256493	73.2806	4.2458	tokeniser_fixable	to throw oneself, jump, plunge, to throw oneself into, take to, to fall upon, swoop down on
3230	dimostrarti	dimostrarti	673	10257166	73.2854	4.2460	tokeniser_fixable	
3231	jt	jt	673	10257839	73.2902	4.2463	residual	
3232	ossicodone	ossicodone	673	10258512	73.2950	4.2466	residual	
3233	passamelo	passamelo	673	10259185	73.2998	4.2469	tokeniser_fixable	
3234	rompiscatole	rompiscatole	673	10259858	73.3047	4.2472	residual	nuisance, bother, pain in the neck
3235	aprirsi	aprirsi	672	10260530	73.3095	4.2474	tokeniser_fixable	to open, to open up, to get off one's chest
3236	debbo	debbo	672	10261202	73.3143	4.2477	residual	
3237	erika	erika	672	10261874	73.3191	4.2480	proper_noun	
3238	inie'	inie'	672	10262546	73.3239	4.2483	residual	
3239	isis	isis	672	10263218	73.3287	4.2486	proper_noun	
3240	jaguar	jaguar	672	10263890	73.3335	4.2488	foreign_word	
3241	kendall	kendall	672	10264562	73.3383	4.2491	proper_noun	
3242	prematrimoniale	prematrimoniale	672	10265234	73.3431	4.2494	residual	premarital
3243	basandomi	basandomi	671	10265905	73.3479	4.2497	residual	
3244	incastrarmi	incastrarmi	671	10266576	73.3527	4.2499	tokeniser_fixable	
3245	jacobs	jacobs	671	10267247	73.3574	4.2502	residual	
3246	pearson	pearson	671	10267918	73.3622	4.2505	residual	
3247	arrivederla	arrivederla	670	10268588	73.3670	4.2508	residual	goodbye
3248	buonissima	buonissima	670	10269258	73.3718	4.2511	residual	
3249	collier	collier	670	10269928	73.3766	4.2513	foreign_word	a necklace, string-shaped jewel worn around the neck
3250	essercene	essercene	670	10270598	73.3814	4.2516	tokeniser_fixable	
3251	howie	howie	670	10271268	73.3862	4.2519	proper_noun	
3252	zymil	zymil	670	10271938	73.3910	4.2522	residual	
3253	benji	benji	669	10272607	73.3957	4.2524	proper_noun	
3254	kikka	kikka	669	10273276	73.4005	4.2527	residual	
3255	ridge	ridge	669	10273945	73.4053	4.2530	foreign_word	
